,userId,geo,coordinates,timestamp,tweet,source,isretweeted,lang,lat,lon,polarity
800357426943954944,273631657,,,1479655055162,rt AT_USER las víctimas del franquismo reprochan a carmena que no les reciba URL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357538344660992,1451131850,,,1479655081722,comprar las mejores propiedades en madrid. toda la información. contacta ahora! publi URL,"<a href=""http://www.tus140.com"" rel=""nofollow"">Tus 140</a>",False,es,null,null,null
800357547144282112,244980097,,,1479655083820,"rt AT_USER señora carmena¡¡ a ver si empieza a tomarse en serio la limpieza en madrid, que hay zonas donde el olor a podrido e… ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357565880238080,2813035457,,,1479655088287,"pues ya tarda en dejárselo, ¿no? URL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,es,null,null,null
800357632376770560,799935204009906176,,,1479655104141,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
800357645823549440,1650497456,,,1479655107347,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",True,es,null,null,null
800357650324189184,702478947,,,1479655108420,"rt AT_USER en lisboa. en milán. y ahora en vuestra casa, de la cual sois desahuciados para iros a jugar casi a guadalajara. b… ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357683328974848,1834611835,,,1479655116289,entra en mi sala de chat! conectada aqui URL emitiendo ahora URL,"<a href=""http://videospornogratisfree.com/"" rel=""nofollow"">videospornogratisfree</a>",False,es,null,null,null
800357698411831298,1467590580,,,1479655119885,comprar las mejores propiedades en madrid. toda la información. contacta ahora! publi URL,"<a href=""http://www.tus140.com"" rel=""nofollow"">Tus 140</a>",False,es,null,null,null
800357705697361920,2994369436,,,1479655121622,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357722940174336,288133495,,,1479655125733,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357802724249601,1181714996,,,1479655144755,rt AT_USER el 'cara al sol' cierra la misa en honor a franco en madrid. ahora hacer apología de la dictadura franquista lo lla… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357847557095424,3793367175,,,1479655155444,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
800357954067300352,395040809,,,1479655180838,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800357957288521728,629685867,,,1479655181606,"rt AT_USER ahora solo les falta q el madrid haga en el campo nuevo lo mismo q le hizo anoche al atletico, y se suicidan seguro… ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800357974728392705,4409959960,,,1479655185764,"rt AT_USER señora carmena¡¡ a ver si empieza a tomarse en serio la limpieza en madrid, que hay zonas donde el olor a podrido e… ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",True,es,null,null,null
800357975730847745,1256566693,,,1479655186003,rt AT_USER lo de alsasua no es terrorismo. espinar no es casta. carmena no es de podemos. aragón es un país. bódalo es un preso polític…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800358029816397824,3415528361,,,1479655198898,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800358052411142145,561423556,,,1479655204285,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,es,null,null,null
800358083004395521,369685525,,,1479655211579,"rt AT_USER de los creadores de ""el madrid ganaba por franco"" y ""la culpa es del cespet"" llega ahora... URL","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",True,es,null,null,null
800358093322420225,1567617667,,,1479655214039,jugó en el madrid; manchester city y milan y ahora falla goles a puerta vacía URL 20m,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,es,null,null,null
800358095553757184,2574440661,,,1479655214571,rt AT_USER el edificio (no okupado) que posee en barcelona la concejal de carmena que defiende a los okupas en madrid… ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",True,es,null,null,null
800358142794231809,552297246,,,1479655225834,"rt AT_USER mirad la cantidad de gilipollas, si porque eso es lo que son, y en fondo me dan pena, necesitan educación, esto en… ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,es,null,null,null
800358170933731328,963791490,,,1479655232543,"claro, AT_USER ya se está haciendo: URL AT_USER AT_USER AT_USER AT_USER","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,es,null,null,null
800358207696748544,3027656813,,,1479655241308,"AT_USER el primero es el más duro; me inicié en el de madrid y fue mortal. ahora toca cerveza, comilona y relax --- lo mereces!","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,es,null,null,null
